Date,Lo-3Prior,7-Hi Prior,ValueLo30,ValueMed40,ValueHi30,SizeLo30,SizeMed40,SizeHi30,Mkt_RF,SMB,HML,RF,WML,Mkt,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR,Big_Small_Hi_Lo_Spread
10/31/1931,0.05,0.10,0.0951,0.0355,0.096,0.0561,0.0879,0.079,0.0804,-0.0187,0.017,0.001,0.0328,0.0814,0.1002,0.1001,0.1218,0.0421,0.0806,0.0862,0.03285
11/30/1931,-0.16,-0.06,-0.0614,-0.1615,-0.1287,-0.0891,-0.0831,-0.0904,-0.0908,0.043,-0.0505,0.0017,0.0761,-0.0891,-0.1362,-0.0559,-0.0878,-0.164,-0.1119,-0.0603,0.07605
12/31/1931,-0.25,-0.10,-0.1158,-0.1869,-0.2127,-0.2088,-0.1355,-0.1327,-0.1353,-0.0056,-0.0886,0.0012,0.1417,-0.1341,-0.2564,-0.2252,-0.1161,-0.2401,-0.1612,-0.0969,0.14175
1/31/1932,0.10,-0.02,-0.034,0.0203,0.0794,0.0679,0.0103,-0.0163,-0.0158,0.0394,0.0904,0.0023,-0.1032,-0.0135,0.1311,0.0851,0.0198,0.0687,-0.0272,-0.0263,-0.10315
2/29/1932,0.05,0.05,0.0706,0.0175,0.0071,0.0353,0.0118,0.0604,0.0546,-0.0277,-0.0145,0.0023,0.0162,0.0569,0.0224,0.0087,0.0484,0.0562,0.0504,0.0626,0.0162
3/31/1932,-0.20,-0.09,-0.102,-0.1496,-0.1331,-0.1254,-0.0962,-0.1104,-0.1121,0.0227,-0.0232,0.0016,0.1033,-0.1105,-0.1572,-0.1173,-0.069,-0.1984,-0.138,-0.08,0.1033
4/30/1932,-0.23,-0.17,-0.1813,-0.1996,-0.1763,-0.1905,-0.14,-0.1805,-0.1796,0.0144,0.0142,0.0011,0.0678,-0.1785,-0.2174,-0.1849,-0.1585,-0.2282,-0.2219,-0.1515,0.0678
5/31/1932,-0.36,-0.16,-0.1921,-0.2588,-0.2256,-0.1645,-0.2124,-0.2043,-0.2051,0.0372,-0.0328,0.0006,0.122,-0.2045,-0.252,-0.1984,-0.2046,-0.3715,-0.22,-0.1748,0.12205
6/30/1932,0.03,0.01,-0.017,0.0046,0.0585,-0.023,0.0238,-0.01,-0.007,0.0035,0.0532,0.0002,0.021,-0.0068,0.032,0.0577,0.0824,0.011,-0.0305,0.0027,0.02105
7/31/1932,0.72,0.25,0.2821,0.4793,0.6679,0.5066,0.3837,0.3332,0.3384,-0.0444,0.3546,0.0003,-0.4394,0.3387,0.6027,0.427,0.2143,0.7272,0.416,0.2368,-0.4394
